ABSLGACODE,LGA,Year,Deaths,Births,Natural Increases
20110,Alpine,2011,97,89,-8
20110,Alpine,2012,109,109,0
20110,Alpine,2013,126,87,-39
20110,Alpine,2014,109,87,-22
20110,Alpine,2015,120,100,-20
20110,Alpine,2016,128,97,-31
20110,Alpine,2017,139,117,-22
20110,Alpine,2018,131,93,-38
20110,Alpine,2019,152,95,-57
20110,Alpine,2020,104,92,-12
20110,Alpine,2021,134,109,-25
20110,Alpine,2022,122,108,-14
20110,Alpine,2023,120,94,-26
20260,Ararat,2011,135,115,-20
20260,Ararat,2012,117,127,10
20260,Ararat,2013,124,116,-8
20260,Ararat,2014,119,113,-6
20260,Ararat,2015,107,109,2
20260,Ararat,2016,119,112,-7
20260,Ararat,2017,134,123,-11
20260,Ararat,2018,108,101,-7
20260,Ararat,2019,128,125,-3
20260,Ararat,2020,104,105,1
20260,Ararat,2021,128,103,-25
20260,Ararat,2022,128,113,-15
20260,Ararat,2023,149,101,-48
20570,Ballarat,2011,770,1209,439
20570,Ballarat,2012,699,1323,624
20570,Ballarat,2013,751,1359,608
20570,Ballarat,2014,797,1258,461
20570,Ballarat,2015,833,1290,457
20570,Ballarat,2016,808,1366,558
20570,Ballarat,2017,827,1409,582
20570,Ballarat,2018,821,1263,442
20570,Ballarat,2019,947,1297,350
20570,Ballarat,2020,835,1224,389
20570,Ballarat,2021,928,1358,430
20570,Ballarat,2022,1085,1298,213
20570,Ballarat,2023,973,1242,269
20660,Banyule,2011,912,1724,812
20660,Banyule,2012,841,1646,805
20660,Banyule,2013,826,1634,808
20660,Banyule,2014,852,1594,742
20660,Banyule,2015,885,1531,646
20660,Banyule,2016,799,1757,958
20660,Banyule,2017,885,1627,742
20660,Banyule,2018,855,1570,715
20660,Banyule,2019,1002,1512,510
20660,Banyule,2020,884,1369,485
20660,Banyule,2021,878,1413,535
20660,Banyule,2022,1057,1423,366
20660,Banyule,2023,948,1262,314
20740,Bass Coast,2011,309,365,56
20740,Bass Coast,2012,313,344,31
